year,category,type,co2,note
1990,Verkehr,real,1390,
1990,Industrie,real,3380,
1990,Gewerbe,real,3150,
1990,Haushalte,real,1880,
1990,Gesamt,real,9810,
1995,Verkehr,real,1500,
1995,Industrie,real,2270,
1995,Gewerbe,real,2870,
1995,Haushalte,real,1750,
1995,Gesamt,real,8400,
2000,Verkehr,real,1470,
2000,Industrie,real,2440,
2000,Gewerbe,real,2850,
2000,Haushalte,real,1720,
2000,Gesamt,real,8470,
2005,Verkehr,real,1430,
2005,Industrie,real,2610,
2005,Gewerbe,real,2840,
2005,Haushalte,real,1680,
2005,Gesamt,real,8550,
2010,Verkehr,real,1370,
2010,Industrie,real,2440,
2010,Gewerbe,real,2690,
2010,Haushalte,real,1510,
2010,Gesamt,real,8010,
2015,Verkehr,real,1680,
2015,Industrie,real,2440,
2015,Gewerbe,real,2720,
2015,Haushalte,real,1410,
2015,Gesamt,real,8250,
2017,Verkehr,real,1670,
2017,Industrie,real,2280,
2017,Gewerbe,real,2580,
2017,Haushalte,real,1360,
2017,Gesamt,real,7900,
2019,Verkehr,real,1620,
2019,Industrie,real,2034,
2019,Gewerbe,real,2322,
2019,Haushalte,real,1346,
2019,Gesamt,real,7322,
2020,Verkehr,real,1447,
2020,Industrie,real,1577,
2020,Gewerbe,real,2221,
2020,Haushalte,real,1362,
2020,Gesamt,real,6607,
2021,Verkehr,real,1476,
2021,Industrie,real,1963,
2021,Gewerbe,real,2626,
2021,Haushalte,real,1390,
2021,Gesamt,real,7455,last_emissions
2021,Einwohner,Einwohner,775109,
2024,Gesamt,geplant,7455,
2035,Gesamt,geplant,0,
